vendor,product_id,sku,title,product_type,handle,price,product_url,image_id,image_position,image_source_url,local_path,design_group
giva,7936134906018,PD02234,Silver Branchful Necklace,Pendant,silver-branchful-necklace,1999.00,https://www.giva.co/products/silver-branchful-necklace,47042504949922,1,https://cdn.shopify.com/s/files/1/0061/8378/0442/files/PD02234_1_77ed33cc-91d6-4e41-ab28-d4d4dd039ee6.jpg?v=1786360456,images/giva_7936134906018_47042504949922.jpg,giva_dg_50690603
giva,7936134906018,PD02234,Silver Branchful Necklace,Pendant,silver-branchful-necklace,1999.00,https://www.giva.co/products/silver-branchful-necklace,47042508456098,2,https://cdn.shopify.com/s/files/1/0061/8378/0442/files/PD02234_4_c86c83a6-03f5-4d37-8e04-dcb2e18c14ba.jpg?v=1786360468,images/giva_7936134906018_47042508456098.jpg,giva_dg_50690603
giva,7936134906018,PD02234,Silver Branchful Necklace,Pendant,silver-branchful-necklace,1999.00,https://www.giva.co/products/silver-branchful-necklace,47042509045922,3,https://cdn.shopify.com/s/files/1/0061/8378/0442/files/PD02234_5_54d9eb14-a1b8-40ee-8cea-2001de025d36.jpg?v=1786360469,images/giva_7936134906018_47042509045922.jpg,giva_dg_50690603
giva,7936134906018,PD02234,Silver Branchful Necklace,Pendant,silver-branchful-necklace,1999.00,https://www.giva.co/products/silver-branchful-necklace,47042506522786,4,https://cdn.shopify.com/s/files/1/0061/8378/0442/files/PD02234_2_63153970-27dd-4016-8f47-ba72f65b1268.jpg?v=1786360462,images/giva_7936134906018_47042506522786.jpg,giva_dg_50690603
giva,7936134906018,PD02234,Silver Branchful Necklace,Pendant,silver-branchful-necklace,1999.00,https://www.giva.co/products/silver-branchful-necklace,47042506457250,5,https://cdn.shopify.com/s/files/1/0061/8378/0442/files/PD02234_3_36460702-b756-4aea-b92e-84f36ef1cb16.jpg?v=1786360462,images/giva_7936134906018_47042506457250.jpg,giva_dg_50690603
giva,7936134906018,PD02234,Silver Branchful Necklace,Pendant,silver-branchful-necklace,1999.00,https://www.giva.co/products/silver-branchful-necklace,47042505212066,6,https://cdn.shopify.com/s/files/1/0061/8378/0442/files/PD02234_6.jpg?v=1786360456,images/giva_7936134906018_47042505212066.jpg,giva_dg_50690603
giva,7936134906018,PD02234,Silver Branchful Necklace,Pendant,silver-branchful-necklace,1999.00,https://www.giva.co/products/silver-branchful-necklace,47042505343138,7,https://cdn.shopify.com/s/files/1/0061/8378/0442/files/PD02234_6_47b6e746-faad-4de2-a18b-2b5b295bcb65.jpg?v=1786360457,images/giva_7936134906018_47042505343138.jpg,giva_dg_50690603
giva,7341147783330,PD0670,Rose Gold Music In My Heart Pendant with Link Chain,Pendant,charming-love-pendant,3599.00,https://www.giva.co/products/charming-love-pendant,47056516219042,1,https://cdn.shopify.com/s/files/1/0061/8378/0442/files/PD0670_1_6580a4c7-ed94-49eb-b1e0-c6091735b567.jpg?v=1786450441,images/giva_7341147783330_47056516219042.jpg,giva_dg_35001033
giva,7341147783330,PD0670,Rose Gold Music In My Heart Pendant with Link Chain,Pendant,charming-love-pendant,3599.00,https://www.giva.co/products/charming-love-pendant,47056516284578,2,https://cdn.shopify.com/s/files/1/0061/8378/0442/files/PD0670_4_442a620c-dc93-45ae-9ac7-75ea60b1b84a.jpg?v=1786450440,images/giva_7341147783330_47056516284578.jpg,giva_dg_35001033
giva,7341147783330,PD0670,Rose Gold Music In My Heart Pendant with Link Chain,Pendant,charming-love-pendant,3599.00,https://www.giva.co/products/charming-love-pendant,47056516317346,3,https://cdn.shopify.com/s/files/1/0061/8378/0442/files/PD0670_5_da437487-eca6-4602-9ac6-bab5b74cdd7c.jpg?v=1786450441,images/giva_7341147783330_47056516317346.jpg,giva_dg_35001033
giva,7341147783330,PD0670,Rose Gold Music In My Heart Pendant with Link Chain,Pendant,charming-love-pendant,3599.00,https://www.giva.co/products/charming-love-pendant,47056516251810,4,https://cdn.shopify.com/s/files/1/0061/8378/0442/files/PD0670_3_73b7bf73-1086-4a6a-a602-5e5ed9dc036a.jpg?v=1786450441,images/giva_7341147783330_47056516251810.jpg,giva_dg_35001033
giva,7341147783330,PD0670,Rose Gold Music In My Heart Pendant with Link Chain,Pendant,charming-love-pendant,3599.00,https://www.giva.co/products/charming-love-pendant,47056516350114,5,https://cdn.shopify.com/s/files/1/0061/8378/0442/files/PD0670_6_c29c2ce7-ac7b-4854-b00e-04bb7d6a0bf7.jpg?v=1786450441,images/giva_7341147783330_47056516350114.jpg,giva_dg_35001033
giva,7341147783330,PD0670,Rose Gold Music In My Heart Pendant with Link Chain,Pendant,charming-love-pendant,3599.00,https://www.giva.co/products/charming-love-pendant,47056516382882,6,https://cdn.shopify.com/s/files/1/0061/8378/0442/files/PD0670_6_d9ebef1b-c86a-47c5-b48d-705850947293.jpg?v=1786450440,images/giva_7341147783330_47056516382882.jpg,giva_dg_35001033
giva,7207269466274,R0165,Golden Wine Twirling Petal Ring,Rings,wine-twirling-petal-ring,2499.00,https://www.giva.co/products/wine-twirling-petal-ring,31650372649122,1,https://cdn.shopify.com/s/files/1/0061/8378/0442/products/R0165_1_ea31cafe-0572-43c4-ad3d-5dd71aa3252d.jpg?v=1636432586,images/giva_7207269466274_31650372649122.jpg,giva_dg_85247052
giva,7207269466274,R0165,Golden Wine Twirling Petal Ring,Rings,wine-twirling-petal-ring,2499.00,https://www.giva.co/products/wine-twirling-petal-ring,31613707157666,2,https://cdn.shopify.com/s/files/1/0061/8378/0442/products/R0165_2.jpg?v=1776440929,images/giva_7207269466274_31613707157666.jpg,giva_dg_85247052
giva,7207269466274,R0165,Golden Wine Twirling Petal Ring,Rings,wine-twirling-petal-ring,2499.00,https://www.giva.co/products/wine-twirling-petal-ring,31650375696546,3,https://cdn.shopify.com/s/files/1/0061/8378/0442/products/R0165_3_7667e9b7-05b1-4ea5-94b1-54cb526b70b2.jpg?v=1776440929,images/giva_7207269466274_31650375696546.jpg,giva_dg_85247052
giva,7207269466274,R0165,Golden Wine Twirling Petal Ring,Rings,wine-twirling-petal-ring,2499.00,https://www.giva.co/products/wine-twirling-petal-ring,31613707026594,4,https://cdn.shopify.com/s/files/1/0061/8378/0442/products/R0165_4.jpg?v=1776440929,images/giva_7207269466274_31613707026594.jpg,giva_dg_85247052
giva,5892184866978,A0015+A0015,Silver Zircon Bubble Anklet,Anklets,silver-zircon-bubble-anklet,3999.00,https://www.giva.co/products/silver-zircon-bubble-anklet,47073264042146,1,https://cdn.shopify.com/s/files/1/0061/8378/0442/files/A0015_2_910f933b-4f60-4625-ab97-466f7ff6d120.jpg?v=1786555457,images/giva_5892184866978_47073264042146.jpg,giva_dg_07412635
giva,5892184866978,A0015+A0015,Silver Zircon Bubble Anklet,Anklets,silver-zircon-bubble-anklet,3999.00,https://www.giva.co/products/silver-zircon-bubble-anklet,47073264107682,2,https://cdn.shopify.com/s/files/1/0061/8378/0442/files/A0015_5_c93e4278-dfb9-47b4-ac0b-798a5033d883.jpg?v=1786555457,images/giva_5892184866978_47073264107682.jpg,giva_dg_07412635
giva,5892184866978,A0015+A0015,Silver Zircon Bubble Anklet,Anklets,silver-zircon-bubble-anklet,3999.00,https://www.giva.co/products/silver-zircon-bubble-anklet,47073264009378,3,https://cdn.shopify.com/s/files/1/0061/8378/0442/files/A0015_1_b01c3ada-23ba-4455-ab48-5c0da3a85628.jpg?v=1786555457,images/giva_5892184866978_47073264009378.jpg,giva_dg_07412635
giva,5892184866978,A0015+A0015,Silver Zircon Bubble Anklet,Anklets,silver-zircon-bubble-anklet,3999.00,https://www.giva.co/products/silver-zircon-bubble-anklet,47073264074914,4,https://cdn.shopify.com/s/files/1/0061/8378/0442/files/A0015_4_99619a69-5d40-4c9f-b203-7116d975638d.jpg?v=1786555457,images/giva_5892184866978_47073264074914.jpg,giva_dg_07412635
giva,8613391204514,ER03189,Silver Multi Twinkle Earrings,Earrings,silver-multi-twinkle-earrings,1199.00,https://www.giva.co/products/silver-multi-twinkle-earrings,47365470781602,1,https://cdn.shopify.com/s/files/1/0061/8378/0442/files/ER03189_2.jpg?v=1788602838,images/giva_8613391204514_47365470781602.jpg,giva_dg_70938835
